episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
363,8274,loss,28,-73.00,0,8,0.8428,0,2.012393
364,8296,loss,22,-73.00,0,8,0.8424,0,2.183722
365,8321,loss,25,-70.50,0,8,0.8419,0,2.220466
366,8346,loss,25,-70.00,0,7,0.8414,0,1.617872
367,8378,loss,32,-75.00,0,8,0.8408,0,1.918193
368,8409,loss,31,-73.50,0,8,0.8402,0,1.771706
369,8424,loss,15,-66.00,0,8,0.8399,0,2.059825
370,8459,loss,35,-75.50,0,8,0.8393,0,2.128135
371,8477,loss,18,-67.00,0,8,0.8389,0,1.949247
372,8500,loss,23,-71.00,0,8,0.8385,0,2.147548
373,8526,loss,26,-71.00,0,8,0.8380,0,1.718118
374,8549,loss,23,-71.00,0,8,0.8376,0,1.641520
375,8566,loss,17,-66.50,0,8,0.8372,0,1.842377
376,8587,loss,21,-73.50,0,8,0.8368,0,1.949390
377,8606,loss,19,-66.50,0,8,0.8365,0,1.709492
378,8631,loss,25,-70.50,0,8,0.8360,0,1.700478
379,8654,loss,23,-68.00,0,8,0.8356,0,1.630486
380,8667,loss,13,-63.00,0,7,0.8353,0,1.966344
381,8685,loss,18,-68.00,0,8,0.8350,0,1.789581
382,8709,loss,24,-67.50,0,7,0.8345,0,1.966995
383,8809,timeout,100,-60.49,4,7,0.8326,0,1.925292
384,8830,loss,21,-68.00,0,8,0.8322,0,1.619312
385,8930,timeout,100,-54.99,4,7,0.8303,0,1.896553
386,8963,loss,33,-74.00,0,8,0.8297,0,1.921749
387,8984,loss,21,-68.00,0,7,0.8293,0,1.970146
388,9001,loss,17,-68.00,0,8,0.8290,0,1.962989
389,9018,loss,17,-68.00,0,8,0.8287,0,1.728805
390,9118,timeout,100,-63.99,1,8,0.8268,0,1.851456
391,9133,loss,15,-65.50,0,7,0.8265,0,1.749462
392,9156,loss,23,-69.50,0,8,0.8260,0,1.833349
393,9178,loss,22,-66.50,0,7,0.8256,0,1.914634
394,9192,loss,14,-66.50,0,8,0.8254,0,1.687924
395,9214,loss,22,-70.50,0,8,0.8249,0,2.022318
396,9229,loss,15,-65.50,0,8,0.8246,0,1.911505
397,9247,loss,18,-64.50,0,7,0.8243,0,1.841017
398,9273,loss,26,-72.00,0,8,0.8238,0,1.831076
