# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
99,29229,timeout,258,60,-45.57,2,6,0.0500,0,0.142606,38,72,138,60,60,1,53,3,45,"NA:N,SA:N",0A18|1A20|2N1|3E19|4N1|5N1|6E13|7N1|8E10|9E10|10E10|11N1|12E10
100,29523,timeout,294,60,-34.71,6,6,0.0500,0,0.145044,62,85,174,60,60,0,51,2,50,"NA:N,SA:N",0A16|1A17|2A3|3E18|4A3|5A3|6E20|7A20|8E17|9E10|10E10|11N1|12E10
101,29823,timeout,300,60,-48.87,5,7,0.0500,0,0.145564,88,80,180,60,60,0,49,4,59,"NA:N,SA:N",0E1|1A8|2A20|3E19|4A20|5A20|6E20|7A20|8E20|9E7|10E6|11N1|12E7
102,30123,timeout,300,60,-24.09,7,5,0.0500,0,0.141781,64,96,180,60,60,1,48,3,60,"NA:N,SA:N",0A1|1A15|2A20|3A12|4A1|5A1|6E20|7A14|8E20|9E19|10E19|11N1|12E18
103,30423,timeout,300,60,-59.78,5,7,0.0500,0,0.149213,90,90,180,60,60,1,47,5,60,"NA:N,SA:N",0E1|1A11|2A20|3E17|4A19|5A20|6E20|7A20|8E20|9E11|10E11|11N1|12E10
104,30702,timeout,279,60,-44.21,3,6,0.0500,0,0.145860,57,71,159,60,60,0,52,3,47,"NA:N,SA:N",0A17|1A20|2N1|3E20|4A20|5N1|6E20|7N1|8E8|9E8|10E8|11N1|12E7
105,30973,timeout,271,60,-41.44,3,5,0.0500,0,0.145672,58,61,151,60,60,0,53,2,55,"NA:N,SA:N",0A20|1A18|2N1|3A20|4N1|5N1|6E18|7N1|8E10|9E11|10E11|11N1|12E11
106,31241,timeout,268,60,-48.38,3,6,0.0500,0,0.144242,59,53,148,60,60,0,55,2,39,"NA:N,SA:N",0A20|1A20|2N1|3E18|4A19|5N1|6E20|7N1|8E4|9E4|10E3|11N1|12E4
107,31502,timeout,261,60,-41.01,2,6,0.0500,0,0.149582,37,71,141,60,60,0,55,2,55,"NA:N,SA:N",0A18|1A19|2N1|3E20|4N1|5N1|6E13|7N1|8E10|9E9|10E10|11N1|12E9
108,31802,timeout,300,60,-47.29,5,7,0.0500,0,0.143835,93,84,180,60,60,4,45,7,60,"NA:N,SA:N",0E2|1A13|2A20|3E20|4A20|5A20|6E20|7A20|8E20|9E7|10E7|11N1|12E8
